lat,lon,postcode,quality,eastings,northings,country,nhs_ha,longitude,latitude,european_electoral_region,primary_care_trust,region,lsoa,msoa,incode,outcode,parliamentary_constituency,admin_district,parish,admin_county,admin_ward,ced,ccg,nuts,codes,distance
51.526783,0.598957,SS8 8DY,1,580383,184076,England,East of England,0.598957,51.526783,Eastern,South East Essex,East of England,Castle Point 009D,Castle Point 009,8DY,SS8,Castle Point,Castle Point,Canvey Island,Essex,Canvey Island North,Canvey Island East,NHS Castle Point and Rochford,Essex Thames Gateway,"{'admin_district': 'E07000069', 'admin_county': 'E10000012', 'admin_ward': 'E05004086', 'parish': 'E04003950', 'parliamentary_constituency': 'E14000622', 'ccg': 'E38000030', 'ccg_id': '99F', 'ced': 'E58000417', 'nuts': 'TLH37', 'lsoa': 'E01021496', 'msoa': 'E02004481', 'lau2': 'E07000069'}",0.0
52.452202,1.439576,NR35 1BZ,1,633810,289369,England,East of England,1.439576,52.452202,Eastern,Great Yarmouth and Waveney,East of England,Waveney 013A,Waveney 013,1BZ,NR35,Waveney,East Suffolk,Bungay,Suffolk,Bungay & Wainford,Bungay,NHS Norfolk and Waveney,Suffolk CC,"{'admin_district': 'E07000244', 'admin_county': 'E10000029', 'admin_ward': 'E05012736', 'parish': 'E04009490', 'parliamentary_constituency': 'E14001022', 'ccg': 'E38000239', 'ccg_id': '26A', 'ced': 'E58001406', 'nuts': 'TLH14', 'lsoa': 'E01030230', 'msoa': 'E02006314', 'lau2': 'E07000244'}",0.0
51.425096,-0.57365,TW20 0UN,1,499265,170530,England,South East Coast,-0.57365,51.425096,South East,Berkshire East,South East,Runnymede 002E,Runnymede 002,0UN,TW20,Runnymede and Weybridge,Runnymede,"Runnymede, unparished area",Surrey,Englefield Green West,Englefield Green,NHS Frimley,West Surrey,"{'admin_district': 'E07000212', 'admin_county': 'E10000030', 'admin_ward': 'E05012894', 'parish': 'E43000141', 'parliamentary_constituency': 'E14000907', 'ccg': 'E38000252', 'ccg_id': 'D4U1Y', 'ced': 'E58001480', 'nuts': 'TLJ25', 'lsoa': 'E01030675', 'msoa': 'E02006394', 'lau2': 'E07000212'}",0.0
51.377773,-2.528614,BS39 4HU,1,363305,164435,England,South West,-2.528614,51.377773,South West,Bath and North East Somerset,South West,Bath and North East Somerset 016B,Bath and North East Somerset 016,4HU,BS39,North East Somerset,Bath and North East Somerset,Compton Dando,,Saltford,,"NHS Bath and North East Somerset, Swindon and Wiltshire","Bath and North East Somerset, North Somerset and South Gloucestershire","{'admin_district': 'E06000022', 'admin_county': 'E99999999', 'admin_ward': 'E05012485', 'parish': 'E04000962', 'parliamentary_constituency': 'E14000846', 'ccg': 'E38000231', 'ccg_id': '92G', 'ced': 'E99999999', 'nuts': 'TLK12', 'lsoa': 'E01014392', 'msoa': 'E02003000', 'lau2': 'E06000022'}",0.0
51.745121999999995,-0.45028199999999996,HP3 8DX,1,507089,206294,England,East of England,-0.450282,51.745122,Eastern,Hertfordshire,East of England,Dacorum 020B,Dacorum 020,8DX,HP3,Hemel Hempstead,Dacorum,"Dacorum, unparished area",Hertfordshire,Leverstock Green,Hemel Hempstead East,NHS Herts Valleys,Hertfordshire CC,"{'admin_district': 'E07000096', 'admin_county': 'E10000015', 'admin_ward': 'E05004708', 'parish': 'E43000076', 'parliamentary_constituency': 'E14000739', 'ccg': 'E38000079', 'ccg_id': '06N', 'ced': 'E58000631', 'nuts': 'TLH23', 'lsoa': 'E01023358', 'msoa': 'E02004875', 'lau2': 'E07000096'}",0.0
51.541592,0.043358,E7 8QP,1,541797,184426,England,London,0.043312,51.540929,London,Newham,London,Newham 010C,Newham 010,8QP,E7,East Ham,Newham,"Newham, unparished area",,East Ham North,,NHS North East London,Hackney and Newham,"{'admin_district': 'E09000025', 'admin_county': 'E99999999', 'admin_ward': 'E05000481', 'parish': 'E43000215', 'parliamentary_constituency': 'E14000679', 'ccg': 'E38000255', 'ccg_id': 'A3A8R', 'ced': 'E99999999', 'nuts': 'TLI41', 'lsoa': 'E01003531', 'msoa': 'E02000723', 'lau2': 'E09000025'}",73.83346983
56.478868000000006,-3.013486,DD2 3JP,1,337673,732322,Scotland,Tayside,-3.013486,56.478868,Scotland,Dundee Community Health Partnership,,Fairmuir - 04,Fairmuir,3JP,DD2,Dundee West,Dundee City,,,Lochee,,Dundee Community Health Partnership,Angus and Dundee City,"{'admin_district': 'S12000042', 'admin_county': 'S99999999', 'admin_ward': 'S13002546', 'parish': 'S99999999', 'parliamentary_constituency': 'S14000016', 'ccg': 'S03000039', 'ccg_id': '039', 'ced': 'S99999999', 'nuts': 'TLM71', 'lsoa': 'S01007826', 'msoa': 'S02001468', 'lau2': 'S30000002'}",0.0
53.710412,-2.251032,BB4 9LU,1,383528,423806,England,North West,-2.251032,53.710412,North West,East Lancashire Teaching,North West,Rossendale 010E,Rossendale 010,9LU,BB4,Rossendale and Darwen,Rossendale,"Rossendale, unparished area",Lancashire,Whitewell,Rossendale East,NHS East Lancashire,East Lancashire,"{'admin_district': 'E07000125', 'admin_county': 'E10000017', 'admin_ward': 'E05005328', 'parish': 'E43000099', 'parliamentary_constituency': 'E14000902', 'ccg': 'E38000050', 'ccg_id': '01A', 'ced': 'E58000815', 'nuts': 'TLD46', 'lsoa': 'E01025394', 'msoa': 'E02006884', 'lau2': 'E07000125'}",0.0
53.376684,-3.1829669999999997,CH48 5EN,1,321408,387291,England,North West,-3.182844,53.376604,North West,Wirral,North West,Wirral 026A,Wirral 026,5EN,CH48,Wirral West,Wirral,"Wirral, unparished area",,West Kirby and Thurstaston,,NHS Wirral,Wirral,"{'admin_district': 'E08000015', 'admin_county': 'E99999999', 'admin_ward': 'E05000975', 'parish': 'E43000169', 'parliamentary_constituency': 'E14001044', 'ccg': 'E38000208', 'ccg_id': '12F', 'ced': 'E99999999', 'nuts': 'TLD74', 'lsoa': 'E01007196', 'msoa': 'E02001492', 'lau2': 'E08000015'}",12.09461272
53.569599,-2.586036,WN2 1XH,1,361287,408270,England,North West,-2.586036,53.569599,North West,"Ashton, Leigh and Wigan",North West,Wigan 004A,Wigan 004,1XH,WN2,Wigan,Wigan,"Wigan, unparished area",,Aspull New Springs Whelley,,NHS Wigan Borough,Greater Manchester North West,"{'admin_district': 'E08000010', 'admin_county': 'E99999999', 'admin_ward': 'E05000842', 'parish': 'E43000164', 'parliamentary_constituency': 'E14001039', 'ccg': 'E38000205', 'ccg_id': '02H', 'ced': 'E99999999', 'nuts': 'TLD36', 'lsoa': 'E01006231', 'msoa': 'E02001290', 'lau2': 'E08000010'}",0.0
